feature,gain_importance
tfidf__citi,0
tfidf__citi corpor,0
tfidf__citi ocr,0
tfidf__citi street,0
tfidf__citizen,0
tfidf__cl,0
tfidf__classroom,0
tfidf__classroom ocr,0
tfidf__close,0
tfidf__cloth,0
tfidf__club,0
tfidf__coat,0
tfidf__col,0
tfidf__color,0
tfidf__commiss,0
tfidf__compani,0
tfidf__compani ocr,0
tfidf__composit,0
tfidf__composit imag,0
tfidf__comput,0
tfidf__comput ocr,0
tfidf__cone,0
tfidf__confer,0
tfidf__congress,0
tfidf__congress parti,0
tfidf__construct,0
tfidf__construct site,0
tfidf__contain,0
tfidf__contest,0
tfidf__corpor,0
tfidf__couch,0
tfidf__couch ocr,0
tfidf__coupl,0
tfidf__coupl peopl,0
tfidf__court,0
tfidf__courtroom,0
tfidf__courtroom ocr,0
tfidf__cover,0
tfidf__cow,0
tfidf__cow ocr,0
tfidf__cr,0
tfidf__credit,0
tfidf__cricket,0
tfidf__cricket ocr,0
tfidf__cricket team,0
tfidf__cross,0
tfidf__crowd,0
tfidf__crowd ocr,0
tfidf__crowd peopl,0
tfidf__ct,0
tfidf__cti,0
tfidf__ctt,0
tfidf__cup,0
tfidf__cup ocr,0
tfidf__currenc,0
tfidf__da,0
tfidf__dan,0
tfidf__dark,0
tfidf__day,0
tfidf__day day,0
tfidf__day ocr,0
tfidf__day wnoilir,0
tfidf__dda,0
tfidf__dda su,0
tfidf__delhi,0
tfidf__delhi ocr,0
tfidf__depart,0
tfidf__desk,0
tfidf__desk classroom,0
tfidf__desk comput,0
tfidf__desk ocr,0
tfidf__develop,0
tfidf__df,0
tfidf__dhaka,0
tfidf__dhaka ocr,0
tfidf__di,0
tfidf__dj,0
tfidf__dlgda,0
tfidf__dlgda alaaz,0
tfidf__doctor,0
tfidf__document,0
tfidf__document ocr,0
tfidf__dog,0
tfidf__dog ocr,0
tfidf__dr,0
tfidf__dress,0
tfidf__dress ocr,0
tfidf__dress stand,0
tfidf__drink,0
tfidf__dt,0
tfidf__ea,0
tfidf__eat,0
tfidf__ec,0
tfidf__educ,0
tfidf__ee,0
tfidf__ef,0
tfidf__el,0
tfidf__ela,0
tfidf__elect,0
tfidf__em,0
tfidf__emerg,0
tfidf__emerg depart,0
tfidf__en,0
tfidf__entranc,0
tfidf__er,0
tfidf__ert,0
tfidf__es,0
tfidf__et,0
tfidf__event,0
tfidf__event ocr,0
tfidf__exam,0
tfidf__examin,0
tfidf__exchang,0
tfidf__fa,0
tfidf__face,0
tfidf__facebook,0
tfidf__famili,0
tfidf__fat,0
tfidf__fc,0
tfidf__festiv,0
tfidf__fet,0
tfidf__ff,0
tfidf__fi,0
tfidf__field,0
tfidf__field ocr,0
tfidf__fifa,0
tfidf__fill,0
tfidf__film,0
tfidf__financ,0
tfidf__finger,0
tfidf__flag,0
tfidf__flag background,0
tfidf__flag ocr,0
tfidf__fli,0
tfidf__flood,0
tfidf__floor,0
tfidf__floor room,0
tfidf__flower,0
tfidf__flower ocr,0
tfidf__fo,0
tfidf__food,0
tfidf__food ocr,0
tfidf__footbal,0
tfidf__forest,0
tfidf__forest ocr,0
tfidf__fr,0
tfidf__fs,0
tfidf__ft,0
tfidf__fv,0
tfidf__fz,0
tfidf__ga,0
tfidf__game,0
tfidf__game cricket,0
tfidf__gas,0
tfidf__gather,0
tfidf__ge,0
tfidf__gf,0
tfidf__gi,0
tfidf__gia,0
tfidf__girl,0
tfidf__girl sit,0
tfidf__give,0
tfidf__give speech,0
tfidf__gl,0
tfidf__gla,0
tfidf__glass,0
tfidf__glass ocr,0
tfidf__glass speak,0
tfidf__global,0
tfidf__glove,0
tfidf__gm,0
tfidf__goal,0
tfidf__gold,0
tfidf__gold bar,0
tfidf__gold jewelleri,0
tfidf__gold necklac,0
tfidf__gold ocr,0
tfidf__gold price,0
tfidf__googl,0
tfidf__govern,0
tfidf__gr,0
tfidf__great,0
tfidf__green,0
tfidf__green sari,0
tfidf__green shirt,0
tfidf__green uniform,0
tfidf__ground,0
tfidf__group doctor,0
tfidf__group men,0
tfidf__group peopl,0
tfidf__group young,0
tfidf__gt,0
tfidf__gu,0
tfidf__ha,0
tfidf__hair,0
tfidf__hallway,0
tfidf__hallway ocr,0
tfidf__hand,0
tfidf__hand flag,0
tfidf__hand hold,0
tfidf__hand ocr,0
tfidf__hang,0
tfidf__hard,0
tfidf__hard hat,0
tfidf__hat,0
tfidf__hat ocr,0
tfidf__hat stand,0
tfidf__head,0
tfidf__head hand,0
tfidf__health,0
tfidf__held,0
tfidf__helmet,0
tfidf__hi,0
tfidf__hina,0
tfidf__hindi,0
tfidf__hindi ocr,0
tfidf__hn,0
tfidf__hold babi,0
tfidf__hold banner,0
tfidf__hold bat,0
tfidf__hold cell,0
tfidf__hold certif,0
tfidf__hold document,0
tfidf__hold flag,0
tfidf__hold gold,0
tfidf__hold hand,0
tfidf__hold microphon,0
tfidf__hold paper,0
tfidf__hold phone,0
tfidf__hold sign,0
tfidf__hold trophi,0
tfidf__hoodi,0
tfidf__hospit,0
tfidf__hospit bed,0
tfidf__hospit ocr,0
tfidf__hospit room,0
tfidf__hous,0
tfidf__ia,0
tfidf__ic,0
tfidf__id,0
tfidf__ifa,0
tfidf__ifa lf,0
tfidf__ig,0
tfidf__ii,0
tfidf__il,0
tfidf__imag,0
tfidf__imag ocr,0
tfidf__india,0
tfidf__india ocr,0
tfidf__india shrian,0
tfidf__indian,0
tfidf__io,0
tfidf__iphon,0
tfidf__ir,0
tfidf__iran,0
tfidf__islam,0
tfidf__ita,0
tfidf__ja,0
tfidf__jacket,0
tfidf__jacket hat,0
tfidf__jacket ocr,0
tfidf__jacket stand,0
tfidf__jet,0
tfidf__jet fli,0
tfidf__jewelleri,0
tfidf__jewelleri india,0
tfidf__jf,0
tfidf__ji,0
tfidf__jl,0
tfidf__jo,0
tfidf__jt,0
tfidf__judg,0
tfidf__khali,0
tfidf__khan,0
tfidf__la,0
tfidf__lab,0
tfidf__lab coat,0
tfidf__lab ocr,0
tfidf__laptop,0
tfidf__laptop ocr,0
tfidf__larg,0
tfidf__larg screen,0
tfidf__larg ship,0
tfidf__launch,0
tfidf__lay,0
tfidf__le,0
tfidf__leader,0
tfidf__lelta sprallgka,0
tfidf__lf,0
tfidf__lf ttrt,0
tfidf__librari,0
tfidf__limit,0
tfidf__line,0
tfidf__line ocr,0
tfidf__live,0
tfidf__ll,0
tfidf__lo,0
tfidf__logo,0
tfidf__logo bangladesh,0
tfidf__logo ocr,0
tfidf__long,0
tfidf__long hair,0
tfidf__look,0
tfidf__look camera,0
tfidf__look laptop,0
tfidf__look ocr,0
tfidf__lot,0
tfidf__lucknow,0
tfidf__ma,0
tfidf__machin,0
tfidf__machin ocr,0
tfidf__maharashtra,0
tfidf__make,0
tfidf__man beard,0
tfidf__man black,0
tfidf__man blue,0
tfidf__man carri,0
tfidf__man glass,0
tfidf__man green,0
tfidf__man hold,0
tfidf__man lay,0
tfidf__man look,0
tfidf__man militari,0
tfidf__man mustach,0
tfidf__man ocr,0
tfidf__man red,0
tfidf__man ride,0
tfidf__man sit,0
tfidf__man speak,0
tfidf__man stand,0
tfidf__man suit,0
tfidf__man walk,0
tfidf__man wear,0
tfidf__man white,0
tfidf__map,0
tfidf__market,0
tfidf__market ocr,0
tfidf__mask,0
tfidf__mask hold,0
tfidf__mask ocr,0
tfidf__mask sit,0
tfidf__mask stand,0
tfidf__match,0
tfidf__match ocr,0
tfidf__mdad,0
tfidf__mdad dda,0
tfidf__media,0
tfidf__media ocr,0
tfidf__meet,0
tfidf__meet held,0
tfidf__meet room,0
tfidf__men green,0
tfidf__men hold,0
tfidf__men ocr,0
tfidf__men play,0
tfidf__men shake,0
tfidf__men sit,0
tfidf__men stand,0
tfidf__men suit,0
tfidf__men white,0
tfidf__microphon,0
tfidf__microphon crowd,0
tfidf__microphon ocr,0
tfidf__middl,0
tfidf__middl street,0
tfidf__militari,0
tfidf__militari uniform,0
tfidf__minist,0
tfidf__minist state,0
tfidf__ministri,0
tfidf__ml,0
tfidf__mm,0
tfidf__mn,0
tfidf__mo,0
tfidf__model,0
tfidf__mohammad,0
tfidf__money,0
tfidf__moon,0
tfidf__moon ocr,0
tfidf__motorcycl,0
tfidf__movi,0
tfidf__mr,0
tfidf__ms,0
tfidf__mt,0
tfidf__mukherje,0
tfidf__mumbai,0
tfidf__mumbai ocr,0
tfidf__mustach,0
tfidf__na,0
tfidf__nation,0
tfidf__nation bank,0
tfidf__ncp,0
