stage,threshold,accuracy,fake_recall,real_precision,real_recall,fake_precision,tn_real_correct,fp_real_as_fake,fn_fake_as_real,tp_fake_correct
original_model,0.50,86.0,73.0,78.57,99.0,98.65,99,1,27,73
original_model,0.45,86.0,75.0,79.51,97.0,96.15,97,3,25,75
original_model,0.40,86.0,76.0,80.00,96.0,95.00,96,4,24,76
original_model,0.35,86.5,79.0,81.74,94.0,92.94,94,6,21,79
original_model,0.30,90.0,86.0,87.04,94.0,93.48,94,6,14,86
original_model,0.25,89.5,86.0,86.92,93.0,92.47,93,7,14,86
diverse_trained_model,0.30,91.5,91.0,91.09,92.0,91.92,92,8,9,91
