config,accuracy_mean,accuracy_std,f1_fake_mean,f1_fake_std,precision_fake_mean,precision_fake_std,recall_fake_mean,recall_fake_std
ocr_only,0.568,0.017787324,0.429376979,0.023527362,0.634395766,0.039199969,0.3255,0.025215736
caption_only,0.744,0.017919573,0.740687954,0.018723616,0.750484404,0.019625942,0.7315,0.024500567
text_only,0.7655,0.020131512,0.764754504,0.02013186,0.767538864,0.023510361,0.7625,0.026060826
text_plus_cisf,0.77475,0.013715867,0.775022035,0.014857344,0.77434266,0.01861831,0.7765,0.028387204
clip_only,0.95575,0.009208239,0.955935458,0.009451748,0.951181528,0.011247906,0.961,0.018073922
text_plus_clip,0.95425,0.008337499,0.954409836,0.008263862,0.951639081,0.015722925,0.9575,0.014385564
full_text_cisf_clip,0.9565,0.010287533,0.956526486,0.010651337,0.954787713,0.010183454,0.9585,0.019010231
