rank_test_score,mean_test_score,std_test_score,params
1,0.955518524,0.003792476,"{'xgb__colsample_bytree': np.float64(0.6834834444556088), 'xgb__gamma': np.float64(0.14286681792194078), 'xgb__learning_rate': np.float64(0.07423304665511389), 'xgb__max_depth': 3, 'xgb__min_child_weight': 2, 'xgb__n_estimators': 443, 'xgb__reg_alpha': np.float64(1.007198483880919e-05), 'xgb__reg_lambda': np.float64(4.9111315080437645), 'xgb__subsample': np.float64(0.8661185283697008)}"
2,0.952927241,0.002856761,"{'xgb__colsample_bytree': np.float64(0.699816047538945), 'xgb__gamma': np.float64(0.9507143064099162), 'xgb__learning_rate': np.float64(0.08741169448864673), 'xgb__max_depth': 3, 'xgb__min_child_weight': 5, 'xgb__n_estimators': 252, 'xgb__reg_alpha': np.float64(0.0006071989493441295), 'xgb__reg_lambda': np.float64(0.6294263501482736), 'xgb__subsample': np.float64(0.8107371121880536)}"
3,0.952204837,0.000524684,"{'xgb__colsample_bytree': np.float64(0.7686841117373119), 'xgb__gamma': np.float64(0.18485445552552704), 'xgb__learning_rate': np.float64(0.14108340900523528), 'xgb__max_depth': 4, 'xgb__min_child_weight': 4, 'xgb__n_estimators': 311, 'xgb__reg_alpha': np.float64(0.0003807158379249392), 'xgb__reg_lambda': np.float64(4.223075736619113), 'xgb__subsample': np.float64(0.9045451985497472)}"
4,0.9512266,0.002713922,"{'xgb__colsample_bytree': np.float64(0.6806163075223342), 'xgb__gamma': np.float64(0.5704439744053994), 'xgb__learning_rate': np.float64(0.05712048433684708), 'xgb__max_depth': 4, 'xgb__min_child_weight': 5, 'xgb__n_estimators': 357, 'xgb__reg_alpha': np.float64(0.00975619429117457), 'xgb__reg_lambda': np.float64(1.732455693963925), 'xgb__subsample': np.float64(0.8553629079823468)}"
5,0.940747863,0.000616499,"{'xgb__colsample_bytree': np.float64(0.5862425738131284), 'xgb__gamma': np.float64(0.6183860093330873), 'xgb__learning_rate': np.float64(0.0432222796524301), 'xgb__max_depth': 6, 'xgb__min_child_weight': 1, 'xgb__n_estimators': 280, 'xgb__reg_alpha': np.float64(0.027527173929429397), 'xgb__reg_lambda': np.float64(2.3948457324347627), 'xgb__subsample': np.float64(0.8076747381893401)}"
6,0.939727888,0.005293353,"{'xgb__colsample_bytree': np.float64(0.5553059844639466), 'xgb__gamma': np.float64(0.9422017556848528), 'xgb__learning_rate': np.float64(0.062221674590294686), 'xgb__max_depth': 4, 'xgb__min_child_weight': 1, 'xgb__n_estimators': 202, 'xgb__reg_alpha': np.float64(8.386394780402559e-05), 'xgb__reg_lambda': np.float64(0.8709545059604559), 'xgb__subsample': np.float64(0.8891422315889104)}"
7,0.929666961,0.008324977,"{'xgb__colsample_bytree': np.float64(0.7946612641953124), 'xgb__gamma': np.float64(0.007066305219717406), 'xgb__learning_rate': np.float64(0.020951302649963185), 'xgb__max_depth': 5, 'xgb__min_child_weight': 3, 'xgb__n_estimators': 319, 'xgb__reg_alpha': np.float64(1.536960311060883e-05), 'xgb__reg_lambda': np.float64(4.706797598296814), 'xgb__subsample': np.float64(0.7314699691506065)}"
8,0.924749639,0.014590013,"{'xgb__colsample_bytree': np.float64(0.7939986631130485), 'xgb__gamma': np.float64(0.8331949117361643), 'xgb__learning_rate': np.float64(0.028361858658974958), 'xgb__max_depth': 3, 'xgb__min_child_weight': 4, 'xgb__n_estimators': 199, 'xgb__reg_alpha': np.float64(0.004467752817973905), 'xgb__reg_lambda': np.float64(1.0248990260475088), 'xgb__subsample': np.float64(0.8320238074122338)}"
